anode,cathode,electrolyte,energy_density,is_high_performance
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,357.561602895358,1
Graphite,Li-Rich NMC 811,Polymer,278.48866696151214,0
Graphite,Li-Rich NMC 811,Polymer,297.1270076413006,0
Graphite,Li-Rich NMC 811,Liquid,299.5041173801112,0
Graphite,NCA,Liquid,283.2096986610133,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,352.671926386416,1
Lithium-Metal,NCA,Polymer,370.53453189775684,1
Graphite,LFP,Liquid,246.71094157217834,0
Graphite,LFP,Liquid,223.78719682515379,0
Lithium-Metal,NCA,Liquid,380.4293083935174,1
Lithium-Metal,Li-Rich NMC 811,Polymer,414.5293473445663,1
Graphite,LFP,Liquid,206.93129678327605,0
Lithium-Metal,Li-Rich NMC 811,Polymer,396.5987585905266,1
Lithium-Metal,Li-Rich NMC 811,LLZO,380.3014067363621,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,323.7767799457841,0
Silicon-Dominant (Si),LFP,Liquid,265.5284209597055,0
Lithium-Metal,LFP,Polymer,342.59263443059956,1
Lithium-Metal,Li-Rich NMC 811,Liquid,387.1538564167947,1
Graphite,LFP,Liquid,202.9620175373913,0
Lithium-Metal,Li-Rich NMC 811,Polymer,379.02148639271286,1
Graphite,Li-Rich NMC 811,Polymer,308.4445385503586,0
Graphite,NCA,Polymer,261.11409113641696,0
Lithium-Metal,NCA,LLZO,347.0401384548028,1
Lithium-Metal,NCA,Liquid,391.9622630671747,1
Lithium-Metal,LFP,Polymer,312.1780609042819,0
Silicon-Dominant (Si),LFP,Polymer,267.92474914445563,0
Lithium-Metal,NCA,Polymer,373.11255227738707,1
Lithium-Metal,Li-Rich NMC 811,LLZO,381.5316449509564,1
Lithium-Metal,Li-Rich NMC 811,LLZO,374.969299145569,1
Lithium-Metal,Li-Rich NMC 811,Polymer,396.79791044639,1
Graphite,NCA,Liquid,282.07761943582665,0
Silicon-Dominant (Si),NCA,Liquid,327.77172892489426,0
Graphite,Li-Rich NMC 811,Liquid,303.888097935471,0
Graphite,LFP,LLZO,191.261286265476,0
Lithium-Metal,Li-Rich NMC 811,LLZO,393.9135965074751,1
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,395.84817408327484,1
Lithium-Metal,LFP,Liquid,310.93378282802433,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,341.60387037907594,1
Silicon-Dominant (Si),NCA,LLZO,332.5753767199123,0
Graphite,NCA,Liquid,282.75267734631603,0
Silicon-Dominant (Si),NCA,LLZO,315.29736434834,0
Silicon-Dominant (Si),LFP,Polymer,253.36351437633053,0
Lithium-Metal,NCA,Polymer,376.8806525733852,1
Graphite,LFP,LLZO,195.94695021983694,0
Lithium-Metal,LFP,Liquid,334.21425406492114,0
Silicon-Dominant (Si),LFP,LLZO,250.27627568784328,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,365.1465596841292,1
Lithium-Metal,NCA,Polymer,383.38616229722817,1
Lithium-Metal,NCA,Liquid,381.4343066883409,1
Graphite,LFP,Liquid,197.82120631330238,0
Lithium-Metal,NCA,LLZO,377.15631064810395,1
Silicon-Dominant (Si),LFP,Liquid,282.42230235585157,0
Lithium-Metal,NCA,LLZO,375.1484244157449,1
Graphite,LFP,Polymer,217.1846973861959,0
Silicon-Dominant (Si),LFP,Polymer,265.00493157930424,0
Silicon-Dominant (Si),NCA,Liquid,349.3046244577439,1
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,353.3304366263154,1
Silicon-Dominant (Si),LFP,Liquid,290.7885498193665,0
Graphite,NCA,Liquid,295.12904424773257,0
Silicon-Dominant (Si),NCA,Polymer,322.55891305371296,0
Lithium-Metal,NCA,Polymer,382.53348097524855,1
Graphite,NCA,Polymer,272.7079626270815,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,399.65357375097824,1
Lithium-Metal,Li-Rich NMC 811,LLZO,378.14288316832034,1
Lithium-Metal,LFP,LLZO,307.07202535703993,0
Graphite,NCA,LLZO,250.58871673433785,0
Graphite,NCA,LLZO,252.5691613560313,0
Silicon-Dominant (Si),NCA,Polymer,358.0803665260623,1
Silicon-Dominant (Si),NCA,LLZO,317.8592900066169,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,334.8184343710975,0
Silicon-Dominant (Si),LFP,Liquid,245.17714992201346,0
Graphite,LFP,Liquid,239.05188319863572,0
Silicon-Dominant (Si),NCA,Liquid,317.72288674436413,0
Lithium-Metal,NCA,Polymer,369.90019818053145,1
Graphite,Li-Rich NMC 811,LLZO,270.21282432197086,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,346.3964475878737,1
Graphite,Li-Rich NMC 811,LLZO,279.1905164704522,0
Lithium-Metal,Li-Rich NMC 811,LLZO,385.9666696416775,1
Lithium-Metal,Li-Rich NMC 811,LLZO,373.40211136887496,1
Lithium-Metal,Li-Rich NMC 811,LLZO,369.5594459469003,1
Lithium-Metal,LFP,Polymer,281.3311948015896,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,356.2915829015448,1
Lithium-Metal,LFP,LLZO,294.0812652264511,0
Graphite,NCA,Liquid,316.44771592980953,0
Silicon-Dominant (Si),LFP,Polymer,289.24598893401844,0
Graphite,NCA,Liquid,275.5204331230222,0
Lithium-Metal,NCA,Liquid,369.26285196697074,1
Graphite,LFP,Liquid,203.34136231801256,0
Lithium-Metal,NCA,Polymer,396.2840566513543,1
Lithium-Metal,Li-Rich NMC 811,LLZO,365.66214554703373,1
Lithium-Metal,NCA,Liquid,385.114825284157,1
Silicon-Dominant (Si),LFP,LLZO,242.1321960058034,0
Silicon-Dominant (Si),NCA,Polymer,327.3406184184188,0
Lithium-Metal,LFP,Polymer,304.5855075127138,0
Silicon-Dominant (Si),LFP,LLZO,267.3899470504637,0
Graphite,NCA,Liquid,254.953312418974,0
Graphite,Li-Rich NMC 811,Liquid,336.4703040139408,0
Silicon-Dominant (Si),NCA,Polymer,313.12232228710286,0
Lithium-Metal,Li-Rich NMC 811,LLZO,406.3281041643382,1
Graphite,LFP,LLZO,173.69795875624007,0
Graphite,LFP,LLZO,191.82616647561636,0
Graphite,LFP,Liquid,221.7134147299306,0
Silicon-Dominant (Si),LFP,Liquid,272.2545264219282,0
Silicon-Dominant (Si),LFP,LLZO,282.3285930764961,0
Lithium-Metal,Li-Rich NMC 811,Polymer,410.08385926620656,1
Graphite,NCA,Polymer,270.2765089959809,0
Silicon-Dominant (Si),LFP,Liquid,275.2137255804251,0
Silicon-Dominant (Si),NCA,Polymer,295.5561052103551,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,348.2779548296425,1
Graphite,LFP,Liquid,206.51800137636303,0
Lithium-Metal,LFP,LLZO,286.35549153765044,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,377.7926727348618,1
Silicon-Dominant (Si),LFP,Polymer,263.8570719514096,0
Graphite,LFP,Polymer,204.7798037055474,0
Lithium-Metal,LFP,LLZO,302.97837544344435,0
Silicon-Dominant (Si),NCA,Liquid,350.119678795502,1
Lithium-Metal,NCA,Polymer,356.743333167036,1
Graphite,NCA,Liquid,253.6781973913715,0
Lithium-Metal,NCA,Liquid,378.1415903188916,1
Lithium-Metal,Li-Rich NMC 811,Polymer,392.7981611530556,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,374.4770329260225,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,330.5954941331835,0
Lithium-Metal,NCA,Liquid,407.1867283699539,1
Graphite,Li-Rich NMC 811,Liquid,319.32714943325794,0
Lithium-Metal,Li-Rich NMC 811,Liquid,386.44662920164313,1
Lithium-Metal,Li-Rich NMC 811,LLZO,399.9560582083203,1
Silicon-Dominant (Si),NCA,Polymer,335.1521219064293,0
Lithium-Metal,NCA,LLZO,372.07204768100706,1
Graphite,Li-Rich NMC 811,Polymer,313.95380018930314,0
Silicon-Dominant (Si),NCA,Liquid,342.2772710195781,1
Graphite,NCA,LLZO,262.00771481369,0
Lithium-Metal,Li-Rich NMC 811,Liquid,409.40667269215015,1
Graphite,NCA,Liquid,290.2225104605894,0
Graphite,NCA,Polymer,290.2178367199355,0
Lithium-Metal,Li-Rich NMC 811,Polymer,419.4610917229394,1
Lithium-Metal,Li-Rich NMC 811,Liquid,428.8363418836028,1
Lithium-Metal,NCA,LLZO,346.58089046670744,1
Silicon-Dominant (Si),LFP,LLZO,252.1794435961156,0
Silicon-Dominant (Si),LFP,Polymer,285.7036098623331,0
Graphite,NCA,Liquid,281.23425983913137,0
Lithium-Metal,NCA,Liquid,395.98220562598027,1
Graphite,Li-Rich NMC 811,Polymer,338.9655696485157,0
Lithium-Metal,Li-Rich NMC 811,Polymer,390.2444358389496,1
Graphite,Li-Rich NMC 811,Liquid,333.6935821859607,0
Graphite,Li-Rich NMC 811,Liquid,302.157099592701,0
Silicon-Dominant (Si),LFP,Polymer,266.8184522344948,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,351.1605740597374,1
Silicon-Dominant (Si),LFP,Liquid,240.9948254833866,0
Lithium-Metal,LFP,LLZO,281.8890625253044,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,364.1100867762836,1
Lithium-Metal,LFP,Liquid,320.7545978413298,0
Graphite,Li-Rich NMC 811,Polymer,317.50654371575456,0
Silicon-Dominant (Si),LFP,Polymer,284.31662836681573,0
Lithium-Metal,LFP,LLZO,290.6528921036285,0
Lithium-Metal,LFP,LLZO,291.66784321259615,0
Silicon-Dominant (Si),LFP,Liquid,271.44817895308165,0
Graphite,Li-Rich NMC 811,LLZO,267.5024463301468,0
Lithium-Metal,LFP,Liquid,331.9385975727121,0
Lithium-Metal,NCA,Polymer,385.727964077614,1
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,358.004128729934,1
Lithium-Metal,NCA,LLZO,376.8851817655445,1
Silicon-Dominant (Si),NCA,LLZO,317.60101993730257,0
Lithium-Metal,NCA,Polymer,366.98930577494076,1
Lithium-Metal,LFP,Liquid,319.50309540689307,0
Graphite,Li-Rich NMC 811,LLZO,316.9183679527668,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,353.61242152625886,1
Lithium-Metal,LFP,Liquid,320.5384182465155,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,343.6003410652757,1
Silicon-Dominant (Si),NCA,Liquid,334.58331480565886,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,364.7670775380283,1
Lithium-Metal,Li-Rich NMC 811,Liquid,400.55725177926377,1
Silicon-Dominant (Si),LFP,LLZO,244.44514947104057,0
Graphite,NCA,Liquid,267.496615190811,0
Graphite,LFP,Polymer,197.8383612016052,0
Graphite,Li-Rich NMC 811,Polymer,312.9339453719532,0
Lithium-Metal,Li-Rich NMC 811,LLZO,369.6021578853012,1
Silicon-Dominant (Si),NCA,Polymer,331.1938034904083,0
Lithium-Metal,LFP,Liquid,328.07033532195265,0
Lithium-Metal,NCA,Polymer,370.7193107542466,1
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,352.6331874483576,1
Graphite,NCA,LLZO,266.12768522566137,0
Graphite,Li-Rich NMC 811,Polymer,289.56867555165036,0
Lithium-Metal,LFP,Polymer,309.37644853686214,0
Graphite,NCA,LLZO,290.3060294552317,0
Silicon-Dominant (Si),NCA,LLZO,298.9018858530492,0
Lithium-Metal,Li-Rich NMC 811,Polymer,417.0490715755684,1
Lithium-Metal,LFP,Liquid,313.1454901463386,0
Graphite,LFP,Polymer,220.1744911678806,0
Lithium-Metal,Li-Rich NMC 811,LLZO,389.27955703928734,1
Lithium-Metal,NCA,Liquid,371.8609273736258,1
Graphite,NCA,Polymer,283.1565296817944,0
Graphite,NCA,Liquid,252.29841348292896,0
Graphite,LFP,Liquid,211.4999588123484,0
Graphite,Li-Rich NMC 811,Liquid,311.11309320700235,0
Graphite,NCA,Liquid,276.5589609590447,0
Graphite,Li-Rich NMC 811,LLZO,314.3977920754952,0
Lithium-Metal,NCA,LLZO,322.78057520152197,0
Silicon-Dominant (Si),LFP,Liquid,267.57561381806295,0
Graphite,LFP,Liquid,199.8808799347257,0
Silicon-Dominant (Si),LFP,LLZO,249.39763074033485,0
Lithium-Metal,LFP,Polymer,288.5383734682293,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,340.48092447059963,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,354.9362835502203,1
Graphite,LFP,Polymer,247.08419193408992,0
Lithium-Metal,Li-Rich NMC 811,LLZO,382.5620073298907,1
Silicon-Dominant (Si),LFP,LLZO,249.63734534352807,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,331.4349292054064,0
Graphite,NCA,Polymer,292.5509745265073,0
Graphite,LFP,LLZO,213.16043435863506,0
Graphite,Li-Rich NMC 811,LLZO,282.9333774154595,0
Lithium-Metal,LFP,Polymer,326.12686412825934,0
Lithium-Metal,LFP,Polymer,323.7895430456163,0
Graphite,NCA,LLZO,268.28786127887577,0
Lithium-Metal,Li-Rich NMC 811,Liquid,413.1585196644288,1
Silicon-Dominant (Si),NCA,Liquid,343.2044437387987,1
Silicon-Dominant (Si),LFP,Polymer,278.9779587743555,0
Lithium-Metal,NCA,Liquid,388.390388130925,1
Lithium-Metal,NCA,Polymer,367.03070310147507,1
Lithium-Metal,NCA,LLZO,379.75917340096777,1
Graphite,LFP,Liquid,229.75422362439554,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,363.51029502939116,1
Lithium-Metal,LFP,Liquid,327.8425323205325,0
Lithium-Metal,NCA,Polymer,361.3944999409213,1
Graphite,LFP,Liquid,220.570052172523,0
Graphite,NCA,Liquid,281.8004699007739,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,366.36569153247,1
Lithium-Metal,LFP,LLZO,298.3389985637896,0
Silicon-Dominant (Si),LFP,Polymer,263.3667772783996,0
Graphite,Li-Rich NMC 811,Polymer,315.7064745391823,0
Graphite,NCA,Polymer,278.99675783947094,0
Lithium-Metal,NCA,Polymer,387.0032016175406,1
Graphite,Li-Rich NMC 811,Liquid,332.1481052458884,0
Lithium-Metal,Li-Rich NMC 811,Liquid,430.7013703122118,1
Graphite,LFP,Liquid,199.21622370275966,0
Graphite,NCA,LLZO,281.66467375568516,0
Silicon-Dominant (Si),LFP,LLZO,236.59198525742784,0
Silicon-Dominant (Si),NCA,Polymer,317.90741786770144,0
Lithium-Metal,Li-Rich NMC 811,Polymer,404.0232521241654,1
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,339.29575166388855,0
Lithium-Metal,Li-Rich NMC 811,LLZO,406.6158067542255,1
Silicon-Dominant (Si),NCA,Liquid,319.3788170070879,0
Lithium-Metal,NCA,Polymer,338.5726371598002,0
Graphite,Li-Rich NMC 811,LLZO,293.81260838369303,0
Silicon-Dominant (Si),NCA,LLZO,298.8697038766453,0
Silicon-Dominant (Si),NCA,LLZO,290.43016906288864,0
Lithium-Metal,Li-Rich NMC 811,LLZO,400.60817524518575,1
Lithium-Metal,NCA,Polymer,384.5544833089009,1
Lithium-Metal,Li-Rich NMC 811,Polymer,381.4398753182943,1
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,369.4387345784038,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,365.7363401200937,1
Silicon-Dominant (Si),LFP,Liquid,281.5782299255315,0
Lithium-Metal,LFP,Polymer,286.833032595903,0
Lithium-Metal,LFP,Liquid,327.5514362390282,0
Graphite,NCA,Polymer,286.62274225106273,0
Graphite,NCA,Polymer,254.40141109311705,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,350.64346558956294,1
Silicon-Dominant (Si),NCA,Polymer,348.7104703080018,1
Lithium-Metal,LFP,LLZO,299.5366854664263,0
Silicon-Dominant (Si),LFP,Liquid,300.05110900773155,0
Silicon-Dominant (Si),NCA,LLZO,326.58288899436974,0
Lithium-Metal,NCA,Polymer,387.8054545834057,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,344.5395319785855,1
Graphite,LFP,Liquid,208.68586224970963,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,336.0705034552217,0
Lithium-Metal,LFP,LLZO,292.38480326301504,0
Graphite,LFP,Polymer,223.5221194492168,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,357.9170611920799,1
Lithium-Metal,Li-Rich NMC 811,Liquid,387.9638065904569,1
Lithium-Metal,Li-Rich NMC 811,LLZO,376.5125755949694,1
Lithium-Metal,Li-Rich NMC 811,Polymer,423.9175759483746,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,327.29557977522506,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,384.63022740204553,1
Graphite,LFP,Polymer,225.1472563401395,0
